id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
35,Jimmy Alexander Guerrero-Vargas,Guerrero-Vargas J.,54994050500,9-s2.0-54994050500,0000-0002-0193-5508,20,04/03/2012,189,208,7,96,update,"Infectious Diseases, Health, Toxicology and Mutagenesis, Electrical and Electronic Engineering, Plant Science, Drug Discovery, Structural Biology, Biochemistry, Agricultural and Biological Sciences (all), Public Health, Environmental and Occupational Health, Organic Chemistry, Animal Science and Zoology, Toxicology, Medicine (all), Pharmacology, Toxicology and Pharmaceutics (all), Aquatic Science, Atomic and Molecular Physics, and Optics, Physiology, Physical and Theoretical Chemistry, Biophysics, Biotechnology, Materials Science (miscellaneous), Analytical Chemistry, Pharmacology, Biochemistry, Genetics and Molecular Biology (all), Cell Biology",2012-2021,Universidad del Cauca,Department of Biology
36,Luz Stella Hoyos-Giraldo,Hoyos-Giraldo L.,26435211000,9-s2.0-26435211000,0000-0002-1818-8561,20,05/05/2009,253,289,9,64,update,"Public Health, Environmental and Occupational Health, Environmental Chemistry, Medicine (all), Biochemistry, Genetics and Molecular Biology (all), Civil and Structural Engineering, Genetics, History, Epidemiology, Molecular Biology, Pollution, Toxicology, Anthropology, Environmental Engineering, Cultural Studies, Geography, Planning and Development, Chemistry (all), Water Science and Technology, Environmental Science (all), Waste Management and Disposal, Archeology (arts and humanities), Genetics (clinical), Ecological Modeling, Health, Toxicology and Mutagenesis",1992-2021,Universidad del Cauca,Department of Biology
37,Maite Del Pilar Rada-Mendoza,Rada-Mendoza M.,6506755976,9-s2.0-6506755976,0000-0003-1456-1653,18,02/12/2005,387,425,8,25,update,"Biotechnology, Pharmaceutical Science, Chemistry (miscellaneous), Health (social science), Plant Science, Biochemistry, Health Professions  (miscellaneous), Engineering (all), Clinical Biochemistry, Ceramics and Composites, Microbiology, Agronomy and Crop Science, Condensed Matter Physics, Agricultural and Biological Sciences (miscellaneous), Food Science",2002-2021,Universidad del Cauca,Department of Chemistry
38,Vanessa Agredo-Delgado,Agredo-Delgado V.,57195069921,9-s2.0-57195069921,"",17,26/07/2017,16,18,3,17,update,"Applied Mathematics, Control and Systems Engineering, Human-Computer Interaction, Mathematics (all), Computer Science (all), Computational Mathematics, Computer Science Applications, Theoretical Computer Science, Decision Sciences (all), Modeling and Simulation, Education",2016-2021,"Corporación universitaria Comfacauca - Unicomfacauca, Universidad del Cauca"," ,  "
39,Pablo H. Ruiz,Ruiz P.,56100326900,9-s2.0-56100326900,"",17,19/04/2014,12,14,2,18,update,"Information Systems and Management, Control and Systems Engineering, Theoretical Computer Science, Education, Artificial Intelligence, Computer Science (all), Transportation, Mathematics (all), Urban Studies, Modeling and Simulation, Software, Decision Sciences (all), Applied Mathematics, Computer Science Applications, Computational Mathematics, Information Systems",2012-2021,"Corporación universitaria Comfacauca - Unicomfacauca, Universidad del Cauca"," ,  "
40,José Luis Hoyos Concha,Hoyos Concha J.,54789723200,9-s2.0-54789723200,"",17,03/01/2012,58,59,4,45,update,"Management of Technology and Innovation, Energy (all), Geotechnical Engineering and Engineering Geology, Applied Microbiology and Biotechnology, Management Science and Operations Research, Food Science, Chemistry (all), Business and International Management, Agricultural and Biological Sciences (all), Computer Science (all), Computer Science Applications, Industrial and Manufacturing Engineering, Materials Science (all), Process Chemistry and Technology, Multidisciplinary, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Strategy and Management, Fluid Flow and Transfer Processes, Chemical Engineering (all), Engineering (all), Animal Science and Zoology, Business, Management and Accounting (all), Instrumentation",2011-2021,Universidad del Cauca,""
41,Siler Amador Donado,Donado S.,57193958927,9-s2.0-57193958927,"",16,27/04/2017,30,32,2,29,update,"Mathematics (all), Biotechnology, Computer Science (all), Genetics, Engineering (all), Molecular Biology",2010-2021,Universidad del Cauca,Facultad de Ingeniería Electrónica y Telecomunicaciones
42,Roberth Alirio M. Ortiz-Martínez,Ortiz-Martínez R.,56695093400,9-s2.0-56695093400,"",16,01/07/2015,18,18,3,49,update,"Psychiatry and Mental Health, Obstetrics and Gynecology, Public Health, Environmental and Occupational Health, Medicine (all)",2015-2021,Universidad del Cauca,Department of Obstetrics and Gynecology
75,Eric F. Bravo,Bravo E.,56435636300,9-s2.0-56435636300,0000-0003-2191-3776,10,11/12/2014,29,36,4,6,update,"Mathematics (miscellaneous), Applied Mathematics, Discrete Mathematics and Combinatorics, Mathematics (all), Algebra and Number Theory",2014-2021,Universidad del Cauca,Department of Mathematics
45,M. Diego A. Bravo,Bravo M.,57189598397,9-s2.0-57189598397,0000-0001-7041-3183,15,15/06/2016,17,27,3,8,update,"Multidisciplinary, Computer Science Applications, Computer Science (all), Signal Processing, Industrial and Manufacturing Engineering, Modeling and Simulation, Hardware and Architecture, Biomedical Engineering, Software, Control and Optimization, Engineering (all), Mechanical Engineering, Artificial Intelligence, Education, Physics and Astronomy (all), Computer Networks and Communications, Control and Systems Engineering",2013-2021,Universidad del Cauca,""
46,Nazly E. Sánchez,Sánchez N.,56904347300,9-s2.0-56904347300,0000-0002-8501-9119,15,22/10/2015,295,407,10,40,update,"Geography, Planning and Development, Materials Chemistry, Environmental Science (miscellaneous), Chemical Engineering (all), Management, Monitoring, Policy and Law, Mechanical Engineering, Urban Studies, Civil and Structural Engineering, Analytical Chemistry, Polymers and Plastics, Public Health, Environmental and Occupational Health, Building and Construction, Renewable Energy, Sustainability and the Environment, Medicine (all), Fuel Technology, Industrial and Manufacturing Engineering, Electrical and Electronic Engineering, Energy Engineering and Power Technology, Organic Chemistry, Atmospheric Science",2010-2020,Universidad del Cauca,""
47,Ricardo Benitez,Benitez R.,25824746000,9-s2.0-25824746000,0000-0002-8999-3680,15,29/12/2008,79,79,3,20,update,"Pollution, Chemical Engineering (all), Waste Management and Disposal, Chemical Engineering (miscellaneous), Food Science, Biophysics, Structural Biology, Chemistry (all), Process Chemistry and Technology, Polymers and Plastics, Materials Science (miscellaneous), Clinical Biochemistry, Engineering (all), Medicine (all)",2008-2021,Universidad del Cauca,""
48,Nohelia Cajas-Salazar,Cajas-Salazar N.,6603431441,9-s2.0-6603431441,0000-0003-3157-7251,14,01/12/2005,411,470,11,56,update,"Environmental Science (all), Cultural Studies, Archeology (arts and humanities), Anatomy, Epidemiology, Pollution, Medical Laboratory Technology, Genetics, Anthropology, Molecular Biology, Environmental Chemistry, Toxicology, History, Cancer Research, Public Health, Environmental and Occupational Health, Genetics (clinical), Health, Toxicology and Mutagenesis",1998-2016,Universidad del Cauca,""
49,Willian O. Castillo-Ordoñez,Castillo-Ordoñez W.,57191753682,9-s2.0-57191753682,0000-0001-9138-1248,14,06/11/2016,110,124,7,48,update,"Pharmaceutical Science, Cellular and Molecular Neuroscience, Pharmacology, Orthodontics, Analytical Chemistry, Biochemistry, Computer Science (all), Oncology, Food Science, Health, Toxicology and Mutagenesis, Drug Discovery, Theoretical Computer Science, Organic Chemistry, Molecular Medicine, Genetics, Neuroscience (all), Complementary and Alternative Medicine, Developmental Neuroscience, Cancer Research, Dentistry (all), Toxicology",2016-2021,Universidad del Cauca,Department of Biology
50,Mario Fernando Solarte,Solarte M.,57188858840,9-s2.0-57188858840,"",14,28/04/2016,64,78,5,40,update,"Materials Science (all), Theoretical Computer Science, Library and Information Sciences, Computer Science Applications, Human-Computer Interaction, Computer Science (all), Information Systems, Computer Networks and Communications, Education, Hardware and Architecture, Engineering (all)",2015-2020,Universidad del Cauca,Telematics Department
51,Alex M. Montes,Montes A.,55836679300,9-s2.0-55836679300,"",14,04/09/2013,7,12,2,2,update,"Mathematics (all), Numerical Analysis, Analysis, Computer Science Applications, Computational Theory and Mathematics, Computational Mathematics, Applied Mathematics, Control and Optimization",2013-2020,Universidad del Cauca,Department of Mathematics
52,Sonia Gaona J,Gaona J S.,36169744500,9-s2.0-36169744500,"",14,23/07/2010,53,53,3,26,update,"Atomic and Molecular Physics, and Optics, Electronic, Optical and Magnetic Materials, Physical and Theoretical Chemistry, Condensed Matter Physics, Process Chemistry and Technology, Ceramics and Composites, Industrial and Manufacturing Engineering, Materials Science (all), Mechanics of Materials, Catalysis",1998-2021,Universidad del Cauca,""
53,O. Bérmúdez,Bérmúdez O.,7004188564,9-s2.0-7004188564,"",13,03/12/2005,461,733,12,8,update,"Biophysics, Bioengineering, Biotechnology, Biomedical Engineering, Materials Science (all), Chemical Engineering (all)",1993-1996,Universidad del Cauca,Department of Physics
54,Pablo E. Jojoa,Jojoa P.,6504039513,9-s2.0-6504039513,0000-0002-8461-4063,13,01/12/2005,25,25,2,14,update,"Sociology and Political Science, Agricultural and Biological Sciences (all), Software, Food Science, Artificial Intelligence, Multidisciplinary, Energy (all), Instrumentation, Business, Management and Accounting (all), Engineering (all), Chemical Engineering (all), Energy Engineering and Power Technology, Chemistry (all), Strategy and Management, Electrical and Electronic Engineering, Geotechnical Engineering and Engineering Geology, Computer Networks and Communications, Industrial and Manufacturing Engineering, Control and Optimization, Signal Processing, Materials Science (all), Computer Science Applications, Computer Science (all)",2000-2019,Universidad del Cauca,GNTT: Grupo de Investigación en Nuevas Tecnologías de Telecomunicaciones
55,Felipe Estrada-Solano,Estrada-Solano F.,56263833900,9-s2.0-56263833900,"",13,24/07/2014,416,478,6,20,update,"Signal Processing, Computer Networks and Communications, Electrical and Electronic Engineering, Computer Science Applications, Software, Mathematics (all), Control and Systems Engineering, Information Systems, Engineering (all)",2011-2021,"Universidade Estadual de Campinas, Universidad del Cauca"," , Telematics Department"
56,Jesús D. Cerón,Cerón J.,56245820900,9-s2.0-56245820900,0000-0001-7210-6312,13,16/07/2014,45,46,4,26,update,"Health Information Management, Biomedical Engineering, Nursing (all), Health Informatics, Medicine (all), Engineering (all), Instrumentation, Biochemistry, Atomic and Molecular Physics, and Optics, Information Systems, Cardiology and Cardiovascular Medicine, Electrical and Electronic Engineering, Analytical Chemistry, Computer Science (all)",2014-2020,"Universidad del Cauca, Friedrich-Alexander-Universität Erlangen-Nürnberg","Telematics Department, Department of Computer Science"
