nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Felipe Acosta Ortega,Ortega F.,58031862500,9-s2.0-58031862500,,1,01/01/2023,0,0,0,5,new,Computer Science (all),2022-2022,Fundacion Universitaria de Popayán,60108709,
Edwin Ferney Castillo,Castillo E.,57190186052,9-s2.0-57190186052,,3,20/07/2016,15,15,2,7,update,"Theoretical Computer Science, Computer Science (all), Management Information Systems, Information Systems and Management, Statistics, Probability and Uncertainty, Computer Networks and Communications",2016-2020,Universidad del Cauca,104717554,Telematics Department
Oscar Eduardo Prado Ramírez,Prado Ramírez O.,57224065245,9-s2.0-57224065245,,1,04/06/2021,9,9,1,2,new,"Computer Networks and Communications, Control and Systems Engineering, Signal Processing",2017-2017,Universidad del Cauca,60051434,
O. Juan Sebastián Páez,Juan Sebastián Páez O.,57215094533,9-s2.0-57215094533,,1,03/03/2020,0,0,0,3,update,"Computer Networks and Communications, Information Systems, Computer Science Applications, Health Informatics",2019-2019,Popayán University Foundation,127082082,Department of Systems Engineering
Sandra F. Potosí R,Potosí R S.,55233754000,9-s2.0-55233754000,,1,06/06/2012,2,2,1,3,new,Chemistry (all),2010-2010,Universidad del Cauca,104717528,Department of Chemistry
Jonathan Guerrero,Guerrero J.,57209654533,9-s2.0-57209654533,0000-0001-9527-4108,3,09/07/2019,3,3,1,4,update,"Biomedical Engineering, Education, Software, Electrical and Electronic Engineering, Artificial Intelligence, Computer Networks and Communications, Architecture, Economics, Econometrics and Finance (miscellaneous), Industrial and Manufacturing Engineering, Computer Graphics and Computer-Aided Design, Computer Science (all)",2019-2022,Universidad del Cauca,115945793,Information Technology Research Group (GTI)
Daniel Jaramillo-Morillo,Jaramillo-Morillo D.,57194327322,9-s2.0-57194327322,,7,06/06/2017,29,30,3,22,update,"Education, Engineering (miscellaneous), Computer Science Applications, Computer Science (all), Theoretical Computer Science, Software, Hardware and Architecture, Computer Networks and Communications",2017-2022,"Fundacion Universitaria de Popayán, Universidad del Cauca","60108709, 104717552"," , Departamento de Telemática"
Julian David Trochez-Solarte,Trochez-Solarte J.,57215645480,9-s2.0-57215645480,,1,20/03/2020,4,4,1,3,update,"Pharmacology, Toxicology and Pharmaceutics (all), Biochemistry, Genetics and Molecular Biology (all), Immunology and Microbiology (all), Medicine (all)",2019-2019,Universidad del Cauca,123810756,Agropecuary Sciences Department
Jhonattan Solarte-Martinez,Solarte-Martinez J.,57211907975,9-s2.0-57211907975,,1,26/11/2019,0,0,0,2,new,Computer Science (all),2019-2019,Universidad del Cauca,121998203,Grupo de I+D en Tecnologías de la Información (GTI)
Diego Antonio Legarda Cordoba,Cordoba D.,57222271974,9-s2.0-57222271974,,1,12/03/2021,1,1,1,8,new,"Automotive Engineering, Mechanics of Materials, Materials Science (all), Ocean Engineering, Aerospace Engineering, Mechanical Engineering, Civil and Structural Engineering",2021-2021,Corporación Universitaria Comfacauca - Unicomfacauca,117305237,
Víctor Hugo Lozano-Fernández,Lozano-Fernández V.,57191856445,9-s2.0-57191856445,,5,16/11/2016,31,32,3,49,update,"Pharmacology (medical), Public Health, Environmental and Occupational Health, Medicine (all), Applied Microbiology and Biotechnology, Infectious Diseases, Veterinary (miscellaneous), Agronomy and Crop Science, Plant Science, Microbiology, Microbiology (medical)",2017-2022,Hospital Universitario San José,117008946,
Felipe Amezquita-Suárez,Amezquita-Suárez F.,57210286053,9-s2.0-57210286053,,2,11/08/2019,15,16,2,6,update,"Computer Science Applications, Process Chemistry and Technology, Engineering (all), Instrumentation, Materials Science (all), Electrical and Electronic Engineering, Fluid Flow and Transfer Processes, Computer Networks and Communications",2019-2019,Universidad del Cauca,104717554,Telematics Department
William Andrés Manquillo-Arias,Manquillo-Arias W.,57193094448,9-s2.0-57193094448,,2,03/02/2017,0,0,0,7,update,Medicine (all),2016-2017,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
Reinaldo J.M. de Velasco,de Velasco R.,54789578800,9-s2.0-54789578800,,1,03/01/2012,19,19,1,2,update,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Food Science, Applied Microbiology and Biotechnology",2011-2011,Universidad del Cauca,104717562,Departamento de Agroindustria
R. Andrés Torres,Andrés Torres R.,35490053000,9-s2.0-35490053000,,1,25/02/2010,0,0,0,4,update,"Instrumentation, Microbiology (medical), Materials Science (all)",2010-2010,Universidad del Cauca,108282352,Unidad de Microscopía Electrónica
Alexander Burbano-Imbachí,Burbano-Imbachí A.,57202088885,9-s2.0-57202088885,,3,24/05/2018,2,2,1,16,update,Medicine (all),2018-2019,Hospital Universitario San José,123298390,Servicio de Urgencias
Álvaro Rendón,Rendón Á.,12241772400,9-s2.0-12241772400,0000-0002-2935-7316,15,15/06/2006,97,104,6,32,update,"Nursing (all), Education, Theoretical Computer Science, Communication, Computer Networks and Communications, Information Systems, Computer Science Applications, Linguistics and Language, Biomedical Engineering, Bioengineering, Materials Science (all), Computer Science (all), Media Technology, Biophysics, Hardware and Architecture, Health Information Management, Electrical and Electronic Engineering, Health Informatics, Strategy and Management, Medicine (all), Engineering (all)",2005-2022,Universidad del Cauca,104717554,Telematics Department
Carlos Hernán Tobar Arteaga,Arteaga C.,57201994946,9-s2.0-57201994946,,4,18/05/2018,58,60,3,7,update,"Computer Networks and Communications, Information Systems and Management, Materials Science (all), Computer Science (all), Engineering (all), Control and Optimization, Safety, Risk, Reliability and Quality, Electrical and Electronic Engineering",2017-2020,Universidad del Cauca,104717552,Departamento de Telemática
Jhon E. Nieto Calvache,Nieto Calvache J.,56518239500,9-s2.0-56518239500,0000-0003-1966-8636,9,23/02/2015,96,107,4,17,update,"Agricultural and Biological Sciences (all), Management, Monitoring, Policy and Law, Ecology, Food Science, Biotechnology, Nutrition and Dietetics, Horticulture, Agronomy and Crop Science, Biochemistry, Genetics and Molecular Biology (all), Chemical Engineering (all), Environmental Science (all), Global and Planetary Change, Medicine (miscellaneous), Industrial and Manufacturing Engineering, Chemistry (all), Geography, Planning and Development",2015-2023,Universidad del Cauca,60051434,
Andrés Felipe Erazo Narvaez,Narvaez A.,57219516964,9-s2.0-57219516964,,1,27/10/2020,0,0,0,7,new,Anesthesiology and Pain Medicine,2020-2020,Universidad del Cauca,120313626,Programa de Medicina
Jhonny Paul Taborda,Taborda J.,57208552472,9-s2.0-57208552472,,1,09/05/2019,2,2,1,4,new,"Computer Science (all), Control and Systems Engineering",2019-2019,Universidad del Cauca,112213444,Faculty of Electronic Engineering and Telecommunications
Andrea Moreno Martinez,Martinez A.,57215313489,9-s2.0-57215313489,,1,08/03/2020,0,0,0,3,new,"Agronomy and Crop Science, Surfaces, Coatings and Films, Electrical and Electronic Engineering, Metals and Alloys, Renewable Energy, Sustainability and the Environment, Electronic, Optical and Magnetic Materials, Ecology, Energy Engineering and Power Technology",2019-2019,Fundacion Universitaria de Popayán,123794581,Ingeniería Industrial
David Andrés Muñoz,Muñoz D.,57616213300,9-s2.0-57616213300,,1,30/04/2022,2,2,1,3,new,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2021-2021,Universidad del Cauca,109510232,Department of Anesthesiology
Lina María López-Veloza,López-Veloza L.,57203403462,9-s2.0-57203403462,,1,22/08/2018,1,1,1,4,new,Obstetrics and Gynecology,2018-2018,Universidad del Cauca,104717532,School of Medicine
Carlos Hernán Sierra-Tórres,Sierra-Tórres C.,6603080549,9-s2.0-6603080549,0000-0002-4160-9555,49,01/12/2005,942,1071,17,98,update,"Environmental Chemistry, Biochemistry, Genetics and Molecular Biology (all), Health Policy, Public Health, Environmental and Occupational Health, Waste Management and Disposal, Health Information Management, Molecular Biology, Endocrinology, Diabetes and Metabolism, Medicine (all), Pathology and Forensic Medicine, Obstetrics and Gynecology, Hepatology, Endocrinology, Pharmacology (medical), Biomedical Engineering, Biotechnology, Applied Microbiology and Biotechnology, Microbiology (medical), Toxicology, Epidemiology, Cancer Research, Genetics (clinical), Genetics, Pharmacology, Toxicology and Pharmaceutics (all), Health Informatics, Gastroenterology, Water Science and Technology, Environmental Science (all), Cardiology and Cardiovascular Medicine, Infectious Diseases, Geography, Planning and Development, Oncology, Health, Toxicology and Mutagenesis",1998-2022,Universidad del Cauca,60051434,
Eliana C. Portilla,Portilla E.,56277928900,9-s2.0-56277928900,,7,30/07/2014,136,138,3,26,update,"Pathology and Forensic Medicine, Genetics, Biochemistry, Genetics and Molecular Biology (all), Genetics (clinical), Cardiology and Cardiovascular Medicine, Biotechnology, Applied Microbiology and Biotechnology, Medicine (all)",2014-2018,"Erasmus MC, Universidad del Cauca","113501172, 104717529","Department of Epidemiology, Department of Physiological Sciences"
Cristian Valencia-Payan,Valencia-Payan C.,57197760004,9-s2.0-57197760004,0000-0002-7270-4870,7,25/11/2017,7,7,2,8,update,"Computer Science (all), Signal Processing, Mechanics of Materials, Engineering (all), Materials Science (all), Modeling and Simulation, Control and Systems Engineering, Theoretical Computer Science, Biomaterials, Electrical and Electronic Engineering, Computer Networks and Communications, Computer Science Applications",2018-2023,Universidad del Cauca,60051434,
Nelsón Darío Pantoja,Pantoja N.,57204779357,9-s2.0-57204779357,,5,30/11/2018,1,1,1,5,update,"Mathematics (all), Computer Science (all)",2018-2021,Institución Universitaria Colegio Mayor del Cauca,126174880,Faculty of Engineering
Wilmer Jair Díaz-Córdoba,Díaz-Córdoba W.,57202096863,9-s2.0-57202096863,,1,24/05/2018,0,0,0,4,new,Medicine (all),2018-2018,Corporación Del Laboratorio al Campo,120709586,Research Seedling Unit
Pedro Albán-Bolaños,Albán-Bolaños P.,57217119551,9-s2.0-57217119551,,1,17/06/2020,0,0,0,5,new,Engineering (all),2020-2020,Universidad del Cauca,124555928,Faculty of Agricultural Sciences
David S. Corchuelo,Corchuelo D.,38361150500,9-s2.0-38361150500,,1,08/06/2011,2,2,1,4,update,"Control and Systems Engineering, Information Systems and Management, Business, Management and Accounting (all), Modeling and Simulation, Management Information Systems, Information Systems, Business and International Management",2011-2011,Universidad del Cauca,110429422,Telematics Engieneering Group (GIT)
Juan David Romo,Romo J.,57275313800,9-s2.0-57275313800,,1,01/10/2021,4,4,1,4,new,"Electrical and Electronic Engineering, Signal Processing, Control and Systems Engineering, Hardware and Architecture, Computer Networks and Communications",2021-2021,Universidad del Cauca,104717554,Telematics Department
Cindy Materón L,Materón L C.,57188588712,9-s2.0-57188588712,,1,10/04/2016,0,0,0,3,update,"Pharmacology, Toxicology and Pharmaceutics (all), Food Science, Applied Microbiology and Biotechnology, Bioengineering, Biotechnology",2016-2016,Universidad del Cauca,60051434,
Wilmar Fernando Elvira Tabares,Elvira Tabares W.,57374202900,9-s2.0-57374202900,,1,21/12/2021,0,0,0,4,new,Multidisciplinary,2021-2021,Universidad del Cauca,104717528,Department of Chemistry
Fabiola A. Prado,Prado F.,57194474513,9-s2.0-57194474513,0000-0002-7376-1885,2,16/06/2017,82,85,2,6,update,"Polymers and Plastics, Surfaces and Interfaces, Colloid and Surface Chemistry, Materials Chemistry, Physical and Theoretical Chemistry",2017-2019,Universidad del Cauca,104717527,Department of Physics
María Edith Barrera-Robledo,Barrera-Robledo M.,57949247700,9-s2.0-57949247700,,1,05/11/2022,0,0,0,1,new,"Nursing (all), Medicine (all)",2022-2022,Universidad del Cauca,60051434,
J. D. Otero,Otero J.,54383875700,9-s2.0-54383875700,,1,21/11/2011,40,40,1,3,update,"Environmental Engineering, Management, Monitoring, Policy and Law, Nature and Landscape Conservation",2011-2011,Universidad del Cauca,112325747,Environmental Studies Group
Jorge Augusto Herrera-Chaparro,Herrera-Chaparro J.,57193163119,9-s2.0-57193163119,,2,09/02/2017,19,19,1,5,update,"Endocrinology, Endocrinology, Diabetes and Metabolism, Endocrine and Autonomic Systems, Surgery",2017-2022,"Karolinska Institutet, Clínica La Estancia","127657606, 127657269","Clinical Epidemiology training, Unidad de Cuidado Intensivo Pediátrico"
José Javier Rodriguez,Rodriguez J.,55773357100,9-s2.0-55773357100,,1,03/07/2013,1,1,1,3,update,"Surgery, Dermatology",2012-2012,Universidad del Cauca,60051434,
J. A. Ramirez,Ramirez J.,22635681000,9-s2.0-22635681000,0000-0003-3101-052X,18,28/10/2007,149,153,6,169,update,"Ecology, Evolution, Behavior and Systematics, Multidisciplinary, Management, Monitoring, Policy and Law, Plant Science, Agricultural and Biological Sciences (all), Ecological Modeling, Global and Planetary Change, Atmospheric Science, Agronomy and Crop Science, Soil Science, Nature and Landscape Conservation, Earth and Planetary Sciences (all), Ecology, Forestry, Horticulture",2007-2022,Universidad del Cauca,60051434,
Charic Daniel Farinango,Farinango C.,57188690630,9-s2.0-57188690630,,4,18/04/2016,27,27,3,11,update,"Computer Science (all), Nursing (all), Psychiatry and Mental Health, Health Informatics, Medicine (all), Health Information Management, Biomedical Engineering, Psychology (all), Electrical and Electronic Engineering",2015-2022,Universidad del Cauca,104717554,Telematics Department
Luis Freddy Muñoz Sanabria,Sanabria L.,57215096998,9-s2.0-57215096998,,6,03/03/2020,2,2,1,7,update,"Mathematics (all), Software, Computer Networks and Communications, Human-Computer Interaction, Computer Science (all), Computer Vision and Pattern Recognition",2018-2021,Fundacion Universitaria de Popayán,60108709,
Ana Cecilia Arbelaez,Arbelaez A.,57216854393,9-s2.0-57216854393,,2,27/05/2020,0,0,0,1,new,Mechanical Engineering,2020-2020,Universidad del Cauca,60051434,
Ramiro Acevedo,Acevedo R.,23102089200,9-s2.0-23102089200,0000-0002-6844-5992,7,11/01/2008,21,33,3,6,update,"Computational Theory and Mathematics, Applied Mathematics, Computational Mathematics, Algebra and Number Theory, Mathematics (all), Modeling and Simulation, Analysis",2007-2022,Universidad del Cauca,104717531,Department of Mathematics
Óscar E. Valencia,Valencia Ó.,58103858400,9-s2.0-58103858400,,1,21/02/2023,0,0,0,1,new,Development,2023-2023,Fundacion Universitaria de Popayán,60108709,
Francisco Rodriguez-Montúfar,Rodriguez-Montúfar F.,57215575598,9-s2.0-57215575598,,1,17/03/2020,0,0,0,4,new,"Medicine (all), Immunology and Microbiology (all), Biochemistry, Genetics and Molecular Biology (all), Pharmacology, Toxicology and Pharmaceutics (all)",2018-2018,Universidad del Cauca,60051434,
Elsy Patricia Muñoz-Gómez,Muñoz-Gómez E.,57447511100,9-s2.0-57447511100,,1,16/02/2022,1,1,1,3,new,Computer Science (all),2021-2021,IU Colegio Mayor del Cauca,127693122,Edificio Bicentenario
Juliana Salazar Benítez,Salazar Benítez J.,57872977600,9-s2.0-57872977600,,1,11/09/2022,1,1,1,4,new,"Renewable Energy, Sustainability and the Environment, Hardware and Architecture, Energy Engineering and Power Technology, Computer Networks and Communications, Geography, Planning and Development, Computer Science (miscellaneous), Management, Monitoring, Policy and Law, Environmental Science (miscellaneous)",2022-2022,Universidad del Cauca,104717530,Department of Biology
David Oidor Mina,Mina D.,57222126405,9-s2.0-57222126405,,1,03/03/2021,0,0,0,4,new,"Mathematics (all), Computer Science (all)",2020-2020,Corporación Universitaria Comfacauca - Unicomfacauca,117305237,
