idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,True,Publicado en revista especializada,MIDDIS: ARQUITECTURA DE REFERENCIA PARA LA INTERACCIÓN DE SERVICIOS BASADOS EN SOA E IMS,Colombia,Ciencia E Ingeniería Neogranadina,0124-8170,2010,20,2,65 - 85,,"XIMENA VELASCO, OSCAR MAURICIO CAICEDO RENDON"
00000000008160,True,Publicado en revista especializada,Evolvability Characterization in the Context of SOA,Alemania,Lecture Notes In Computer Science,1611-3349,2010,117,1,242 - 253,10.1007/978-3-642-17578-7_25,"JOSE LUIS ARCINIEGAS HERRERA, JUAN CARLOS DUENAS LOPEZ"
00000000008160,True,Publicado en revista especializada,Quality-Driven Architecture Conformance,Alemania,Lecture Notes In Computer Science,1611-3349,2010,117,N/A,38 - 49,10.1007/978-3-642-17578-7_5,"JOSE LUIS ARCINIEGAS HERRERA, JUAN CARLOS DUENAS LOPEZ"
00000000008160,True,Publicado en revista especializada,"Análisis de tráfico para un servicio de vídeo bajo demanda sobre redes HFC, usando el protocolo RTMP",Chile,Informacion Tecnologica,0718-0764,2010,21,6,37 - 48,10.1612/inf.tecnol.4405it.09,"JOSE LUIS ARCINIEGAS HERRERA, WILMAR YESID CAMPO MUNOZ, ROBERTO GARCIA, XABIEL GARCIA PANEDA"
00000000008160,True,Publicado en revista especializada,Proceso de adaptación de una aplicación de e-aprendizaje a t-aprendizaje,Chile,Informacion Tecnologica,0718-0764,2010,21,6,27 - 36,10.1612/inf.tecnol.4406it.09,"JOSE LUIS ARCINIEGAS HERRERA, CLAUDIA ACEVEDO, XABIEL GARCIA PANEDA, JONATHAN PERRINET"
00000000008160,True,Publicado en revista especializada,Strengthening global health informatics research within the andean region through international collaboration,Perú,Revista Peruana de Medicina Experimental y Salud Publica,1726-4634,2010,27,3,449 - 457,,"WALTER CURIOSO, PATRICIA GARCIA, MAGALY BLAS, DIEGO MAURICIO LOPEZ GUTIERREZ, RED QUIPU"
00000000008160,True,Publicado en revista especializada,Ranking BPEL Processes for Service Discovery,Estados Unidos,IEEE Transactions on Services Computing,1939-1374,2010,3,3,178 - 192,,"JUAN CARLOS CORRALES MUNOZ, DANIELA GRIGORI, AHMED GATER, MOKRANE BOUZEGHOUB"
00000000008160,True,Publicado en revista especializada,What is missing in health informatics standardization for pHealth?,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2010,156,N/A,3 - 12,,"BERND BLOBEL, FRANK OEMIG, CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,A Collaborative Recommender System Based on Space-Time Similarities,Estados Unidos,IEEE Pervasive Computing,1536-1268,2010,9,3,81 - 87,,"MARIO MUNOZ ORGANERO, GUSTAVO ADOLFO RAMIREZ GONZALEZ, PEDRO MUNOZ MERINO, CARLOS DELGADO KLOOS"
00000000008160,True,Publicado en revista especializada,Ontology-based interoperability service for HL7 interfaces implementation,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2010,155,N/A,108 - 114,,"CAROLINA GONZALEZ, BERND BLOBEL, DIEGO MAURICIO LOPEZ GUTIERREZ"
00000000008160,True,Publicado en revista especializada,Effective e-learning for health professional and medical students: the experience with SIAS-Intelligent Tutoring System,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2010,156,N/A,89 - 102,,"DIANA CRISTINA MUNOZ, ALEXANDRA ORTIZ, CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,Quality evaluation of health information system's architectures developed using the HIS-DF methodology,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2010,156,N/A,21 - 31,,"DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL, CAROLINA GONZALEZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,The role of architecture and ontology for interoperability.,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2010,155,N/A,33 - 39,,"BERND BLOBEL, CAROLINA GONZALEZ, FRANK OEMIG, DIEGO MAURICIO LOPEZ GUTIERREZ, P NYKÄNEN, CAROLINA GONZALEZ SERRANO, A SEPPÄLÄ"
00000000008160,True,Publicado en revista especializada,"Aproximación metodológica Práctica Reflexiva Soportada en Conciencia Contextual, desde la Perspectiva de los Estudiantes.",Colombia,Ingenieria Al Dia,1692-0589,2010,6,1,23 - 38,,"JORGE ELIECER GOMEZ GOMEZ, GUSTAVO ADOLFO RAMIREZ GONZALEZ, DANIEL JOSE SALAS ALVAREZ, VELSSY HERNANDEZ RIANO, HELMAN HERNANDEZ RIANO"
00000000008160,True,Publicado en revista especializada,Hacia escenarios de aprendizaje soportados en Conciencia Contextual,Colombia,Ingenieria Al Dia,1692-0589,2010,6,N/A,4 - 22,,"GUSTAVO ADOLFO RAMIREZ GONZALEZ, DANIEL JOSE SALAS ALVAREZ, VELSSY HERNANDEZ RIANO, HELMAN HERNANDEZ RIANO, JORGE GOMEZ GOMEZ"
00000000008160,True,Publicado en revista especializada,Access to Digital Libraries from low speed Disconnected Environments,Brasil,IEEE Latin America Transactions,1548-0992,2010,8,2,111 - 119,10.1109/TLA.2010.5514436,"DIEGO FERNANDO MANQUILLO MERA, ALVARO RENDON GALLON"
00000000008160,True,Publicado en revista especializada,Architectural patterns regarding web application domain usability,Colombia,Ingenieria e Investigacion,0120-5609,2010,30,1,52 - 55,http://dialnet.unirioja.es/servlet/oaiart?codigo=3660248,"JOSE LUIS ARCINIEGAS HERRERA, CESAR ALBERTO COLLAZOS, VERONICA FERNANDEZ"
00000000008160,True,Publicado en revista especializada,Analysis of the DOCSIS protocol for distribution of TDi applications and contents in a HFC network,Colombia,Avances En Sistemas E Informática,1657-7663,2010,6,3,119 - 132,,"WILMAR YESID CAMPO MUNOZ, DIEGO RUEDA, IVAN TAIMAL"
00000000008160,True,Publicado en revista especializada,Architectural Approaches for HL7-Based Health Information Systems Implementation,Alemania,Methods of Information in Medicine,0026-1270,2010,49,2,196 - 204,,"DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
