nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
Oscar Ricardo Valencia,Valencia O.,57197758835,9-s2.0-57197758835,,3,2017-11-25,12,12,2,5,update,Theoretical Computer Science;Control and Systems Engineering;Computer Science (all),2017-2018,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática,,,
Omaira Ceballos,Ceballos O.,6602134399,9-s2.0-6602134399,,3,2005-12-02,11,11,2,11,update,,2002-2005,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Nicole Ibagón,Ibagón N.,57205662932,9-s2.0-57205662932,,3,2019-02-08,9,11,2,14,update,"Developmental Biology;Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",2019-2022,Fundación Universitaria de Popayán,118671343,Programa de Ecología,,,
Amparo López-Higuera,López-Higuera A.,57189098689,9-s2.0-57189098689,0000-0002-7840-3104,3,2016-05-13,11,11,1,15,update,Education;Language and Linguistics;Linguistics and Language;Computer Science Applications,2015-2020,Universidad del Cauca,60051434,No Aplica,,,
Hilda Bolaños,Bolaños H.,56986424600,9-s2.0-56986424600,,3,2015-12-11,11,11,2,79,update,"Materials Chemistry;Ecology, Evolution, Behavior and Systematics;Polymers and Plastics;Pathology and Forensic Medicine;Genetics;Cell Biology",2015-2021,Universidad del Cauca,122851828,Immunology and Infectious Diseases Research Group of the Faculty of Health Sciences,,,
Gloria Ávila,Ávila G.,7004960133,9-s2.0-7004960133,,3,2005-11-28,10,10,2,12,update,Infectious Diseases;Immunology;Microbiology (medical);Microbiology,2002-2014,Centro Colombiano de Investigación en Tuberculosis (CCITB);Universidad del Cauca,108042736;106615462,Department of Pathology,,,
Sulma L. Muñoz-Benítez,Muñoz-Benítez S.,25930121200,9-s2.0-25930121200,0000-0003-4670-5172,3,2009-01-10,9,9,2,10,update,"Medicine (all);Biochemistry, Genetics and Molecular Biology (all);Genetics (clinical);Health, Toxicology and Mutagenesis;Cardiology and Cardiovascular Medicine;Epidemiology",2008-2018,Universidad del Cauca,104717555,Grupo de Investigación en Genética Humana Aplicada,,,
Angélica María Anichiarico González,González A.,57209651787,9-s2.0-57209651787,0000-0003-1704-1485,3,2019-07-09,9,9,1,6,update,Gender Studies;Law,2017-2020,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,00000000015873;00000000001155,Grupo Interdisciplinario en Ciencias Sociales y Humanas;Estado y Sociedad,0000003170
Maira Vera-Montoya,Vera-Montoya M.,57191738956,9-s2.0-57191738956,,3,2016-11-05,9,9,1,8,update,Clinical Biochemistry;Biochemistry;Obstetrics and Gynecology;Anesthesiology and Pain Medicine;Medicine (all);Critical Care and Intensive Care Medicine,2016-2022,Universidad del Cauca,113272975,Clinical Epidemiology Unit,,,
Ednna Lizeth Buitrón-Zúñiga,Buitrón-Zúñiga E.,57191952159,9-s2.0-57191952159,,3,2016-11-23,8,8,1,19,update,Psychiatry and Mental Health;Medicine (all);Obstetrics and Gynecology,2016-2019,Hospital Susana López de Valencia,126290034,No Aplica,,,
Carolina Gonzáles González-Serrano,González-Serrano C.,55913175700,9-s2.0-55913175700,,3,2013-11-14,8,8,1,6,update,Engineering (all);Developmental and Educational Psychology;Education;Artificial Intelligence;Electrical and Electronic Engineering;Computer Science Applications,2013-2016,Universidad del Cauca,60051434,No Aplica,,,
Janh Sebastián Saavedra-Torres,Saavedra-Torres J.,57190425197,9-s2.0-57190425197,,3,2016-08-05,8,8,2,6,update,Medicine (all),2016-2018,Universidad del Cauca;Universidad del Cauca,104717536;104717546,Department of Pediatrics;Facultad de Ciencias de la Salud,,,
Lucia I. Arroyo,Arroyo L.,57255198000,9-s2.0-57255198000,0000-0002-1261-6297,3,2021-09-16,7,8,1,13,update,Medicine (all);Health Policy,2021-2023,"Universidad del Cauca;Pontificia Universidad Javeriana, Cali",114888793;129540952,Departamento de Fonoaudiología;MSc programme Public Health,,,
Carlos A. Arias,Arias C.,57200422810,9-s2.0-57200422810,,3,2018-02-07,8,8,2,4,update,"Mathematics (all);History and Philosophy of Science;Energy (all);Chemistry (all);Biochemistry, Genetics and Molecular Biology (all);Physics and Astronomy (all);Numerical Analysis;Earth and Planetary Sciences (all);Applied Mathematics;Agricultural and Biological Sciences (all);Computational Mathematics",2018-2022,Universidad del Cauca,104717531,Department of Mathematics,,,
Juan Fernando Casanova Olaya,Olaya J.,57212536825,9-s2.0-57212536825,0000-0003-4962-9793,3,2019-12-30,7,7,2,4,update,"Food Science;Agronomy and Crop Science;Plant Science;Ecology, Evolution, Behavior and Systematics",2019-2022,Ecotecma SAS,123689024,No Aplica,,,
Andrés Felipe Erazo-Narváez,Erazo-Narváez A.,57211282365,9-s2.0-57211282365,,3,2019-10-18,6,6,2,8,update,Molecular Biology;Obstetrics and Gynecology;Medicine (all);Endocrinology;Genetics,2019-2020,Universidad del Cauca,60051434,No Aplica,,,
Leydi Erazo,Erazo L.,57193349127,9-s2.0-57193349127,0000-0001-5058-847X,3,2017-02-24,6,6,1,5,update,"Software;Computer Networks and Communications;Hardware and Architecture;Computer Science Applications;Safety, Risk, Reliability and Quality;Computer Science (all)",2016-2020,Corporación Universitaria Comfacauca,123995135,Ingeniería de Sistemas,00000000004806,MIND - Investigación en Computación e Informática Aplicada,0000155379
Camilo Ernesto Sarmiento Torres,Torres C.,57216931286,9-s2.0-57216931286,,3,2020-05-31,6,6,1,6,update,Medicine (all);Computer Science (all);Nursing (all);Theoretical Computer Science,2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Karen Sofia Muñoz-Pabon,Muñoz-Pabon K.,57553155300,9-s2.0-57553155300,,3,2022-04-07,6,6,1,6,update,"Food Science;Management, Monitoring, Policy and Law;Health (social science);Microbiology;Plant Science;Agronomy and Crop Science;Horticulture;Health Professions  (miscellaneous);Global and Planetary Change;Ecology",2022-2022,Universidad del Cauca;Universidad Nacional Abierta y a Distancia,104717562;120322564,Departamento de Agroindustria;Technology and Engineering,,,
Mauricio Sánchez Barragán,Sánchez Barragán M.,57205076710,9-s2.0-57205076710,,3,2018-12-20,6,6,2,6,update,Mathematics (all);Education;Computer Science Applications;Computer Science (all),2018-2020,Institución Universitaria Colegio Mayor del Cauca,113372863,No Aplica,,,
Kelly Yoana Tello-Hoyos,Tello-Hoyos K.,57221282361,9-s2.0-57221282361,,3,2021-01-08,5,5,1,5,update,"Public Health, Environmental and Occupational Health",2020-2022,Secretaría Departamental de Salud del Cauca,113883714,No Aplica,,,
Karen Lorena Delgado-Muñoz,Delgado-Muñoz K.,57188580985,9-s2.0-57188580985,,3,2016-04-10,5,5,1,12,update,"Management of Technology and Innovation;Strategy and Management;Energy (all);Computer Science Applications;Business and International Management;Industrial and Manufacturing Engineering;Management Science and Operations Research;Food Science;Geotechnical Engineering and Engineering Geology;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Applied Microbiology and Biotechnology",2016-2016,Universidad del Cauca,104717562,Departamento de Agroindustria,,,
Andrés Colmenares-Cruz,Colmenares-Cruz A.,57221227064,9-s2.0-57221227064,,3,2021-01-06,5,5,1,10,update,"Horticulture;Environmental Science (all);Agricultural and Biological Sciences (all);Agronomy and Crop Science;Biochemistry, Genetics and Molecular Biology (all);Plant Science;Earth and Planetary Sciences (all)",2020-2022,Universidad del Cauca,60051434,No Aplica,,,
Christian Gómez,Gómez C.,57219686598,9-s2.0-57219686598,0000-0002-7311-8478,3,2020-11-05,3,5,2,2,update,Applied Mathematics;Analysis;Modeling and Simulation;Computational Mathematics;Computational Theory and Mathematics,2021-2022,Universidad del Cauca,104717531,Department of Mathematics,00000000012834;00000000007099,Grupo de Optimización;ESPACIOS FUNCIONALES,0001424532
Julian F. Latorre,Latorre J.,57204022567,9-s2.0-57204022567,,3,2018-10-05,4,5,2,5,update,Artificial Intelligence;Mathematics (all);Theoretical Computer Science;Computer Science (all),2018-2020,Corporación Universitaria Comfacauca,119181814,No Aplica,,,
John Edward Martínez-Rodríguez,Martínez-Rodríguez J.,57202091340,9-s2.0-57202091340,,3,2018-05-24,5,5,1,17,update,Medicine (all),2018-2019,Hospital Universitario San José,118732985,Unidad de Cuidados Intensivos,,,
Bertha Leonor Guzmán-Salazar,Guzmán-Salazar B.,57221291975,9-s2.0-57221291975,,3,2021-01-08,5,5,1,5,update,"Public Health, Environmental and Occupational Health",2020-2022,Secretaría Departamental de Salud del Cauca,113883714,No Aplica,,,
H. J. Bolaños-Bravo,Bolaños-Bravo H.,57202120721,9-s2.0-57202120721,,3,2018-05-26,5,5,2,7,update,Hepatology;Gastroenterology,2019-2022,Universidad del Cauca,60051434,No Aplica,,,
Jhon A. Sánchez-Taborda,Sánchez-Taborda J.,57205575928,9-s2.0-57205575928,,3,2019-02-01,5,5,2,5,update,"Plant Science;Ecology, Evolution, Behavior and Systematics",2019-2020,Fundación Ecohabitats,101726347,No Aplica,,,
Daniel Alejandro Fernández-Bolaños,Fernández-Bolaños D.,56698335700,9-s2.0-56698335700,,3,2015-07-02,4,4,1,12,update,Surgery;Medicine (all),2015-2022,Universidad del Cauca,127619915,residente en Cirugía General,,,
Óscar Alvarado,Alvarado Ó.,57211801984,9-s2.0-57211801984,,3,2019-11-20,4,4,1,5,update,"Strategy and Management;Economics, Econometrics and Finance (all);Geography, Planning and Development;Management of Technology and Innovation;Management Science and Operations Research;Business and International Management;Business, Management and Accounting (all)",2013-2019,Corporación Universitaria Autónoma del Cauca,129274977,Estudios interdisciplinarios del Desarrollo,,,
Mayra A.V. Reyes,Reyes M.,56085057000,9-s2.0-56085057000,0000-0002-1616-6473,3,2014-04-06,4,4,1,26,update,"Cell Biology;Neuroscience (all);Pharmacology, Toxicology and Pharmaceutics (all);Gastroenterology;Medicine (all);Biophysics;Immunology;Biochemistry;Physiology;Pediatrics, Perinatology and Child Health",2018-2019,Universidad del Cauca,60051434,No Aplica,00000000002135,Grupo de Investigaciones Herpetológicas y Toxinológicas,0001471424
Luz Marina Sierra-Martínez,Sierra-Martínez L.,57219009247,9-s2.0-57219009247,,3,2021-07-01,4,4,1,7,update,Process Chemistry and Technology;Computer Science Applications;Computational Theory and Mathematics;Materials Science (all);Engineering (all);Instrumentation;Education;Fluid Flow and Transfer Processes;Computer Networks and Communications,2021-2022,Universidad del Cauca;SDAS Research Group,115945793;128542149,Information Technology Research Group (GTI),,,
Gerardo Alfonso Galeano-Triviño,Galeano-Triviño G.,56698402800,9-s2.0-56698402800,,3,2015-07-02,4,4,1,10,update,Medicine (all),2015-2017,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud,,,
Jaury León-Téllez,León-Téllez J.,8384244100,9-s2.0-8384244100,,3,2005-11-29,4,4,1,8,update,"Electronic, Optical and Magnetic Materials;Applied Mathematics;Computer Science Applications;Electrical and Electronic Engineering;Condensed Matter Physics",2004-2011,Universidad del Cauca,60051434,No Aplica,,,
Daniela Pérez Oliveros,Oliveros D.,57205701828,9-s2.0-57205701828,,3,2019-02-12,4,4,1,6,update,Computer Science (all),2019-2020,Institución Universitaria Colegio Mayor del Cauca,113372863,No Aplica,,,
Jorge Muñoz,Muñoz J.,57211910461,9-s2.0-57211910461,,3,2019-11-26,4,4,1,4,update,Computer Science (all);Computer Science Applications;Education,2019-2021,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
Luisa Maria Tumbajoy,Tumbajoy L.,57386867600,9-s2.0-57386867600,0000-0001-6322-400X,3,2022-01-01,3,3,1,9,update,"Computer Science (all);Business, Management and Accounting (miscellaneous);Control and Systems Engineering;Decision Sciences (all);Business and International Management;Industrial and Manufacturing Engineering",2018-2022,Universidad del Cauca,60051434,No Aplica,,,
Jonathan Guerrero,Guerrero J.,57209654533,9-s2.0-57209654533,0000-0001-9527-4108,3,2019-07-09,3,3,1,4,update,"Biomedical Engineering;Education;Software;Electrical and Electronic Engineering;Artificial Intelligence;Computer Networks and Communications;Architecture;Economics, Econometrics and Finance (miscellaneous);Industrial and Manufacturing Engineering;Computer Graphics and Computer-Aided Design;Computer Science (all)",2019-2022,Universidad del Cauca,115945793,Information Technology Research Group (GTI),00000000002157,Grupo I+D en Tecnologías de la Información,0000071305
Jose Eduardo Gomez,Gomez J.,57204053440,9-s2.0-57204053440,,3,2018-10-11,3,3,1,7,update,Computer Science Applications;Computer Science (all);Theoretical Computer Science;Artificial Intelligence,2017-2018,Universidad del Cauca,60051434,No Aplica,,,
Alexander Burbano-Imbachí,Burbano-Imbachí A.,57202088885,9-s2.0-57202088885,,3,2018-05-24,2,2,1,16,update,Medicine (all),2018-2019,Hospital Universitario San José,123298390,Servicio de Urgencias,,,
Diego Andres Campo Ceballos,Ceballos D.,56116343100,9-s2.0-56116343100,0000-0001-7458-5820,3,2014-04-30,2,2,1,9,update,Mechanical Engineering;Industrial and Manufacturing Engineering;Electrical and Electronic Engineering;Agricultural and Biological Sciences (all);Control and Optimization;Computer Science (all);Engineering (all),2011-2020,Universidad del Cauca,125634231,GlSI-Umcomfacauca,00000000004277;00000000008155;00000000005833,"Sistemas Integrados de Producción Agropecuaria, Forestal y Acuícola (SISINPRO);CIENCIA Y TECNOLOGÍA DE MATERIALES CERAMICOS (CYTEMAC);Grupo de Investigación en Sistemas Inteligentes",0001065769
José Rafael Rosero Morales,Rosero Morales J.,57188586591,9-s2.0-57188586591,,3,2016-04-10,2,2,1,1,update,History and Philosophy of Science;Philosophy;Arts and Humanities (all);Social Sciences (all);Political Science and International Relations;Sociology and Political Science,2015-2020,Universidad del Cauca,109858671,Departamento de Filosofía,,,
Elizabeth Castillo Guzmán,Guzmán E.,57215415446,9-s2.0-57215415446,,3,2020-03-12,2,2,1,3,update,Education;Social Sciences (miscellaneous);Cultural Studies;Literature and Literary Theory;Anthropology;Psychology (miscellaneous);Philosophy,2019-2022,Universidad del Cauca,123992968,Departamento de Estudios Interculturales,,,
Lina García,García L.,57225789264,9-s2.0-57225789264,,3,2021-07-20,2,2,1,11,update,"Biotechnology;Catalysis;Waste Management and Disposal;Chemical Engineering (all);Organic Chemistry;Renewable Energy, Sustainability and the Environment;Pollution;Inorganic Chemistry;Fuel Technology;Chemistry (all)",2021-2022,Consejo Nacional de Investigaciones Científicas y Técnicas;Universidad del Cauca,60004518;117011658,Facultad de Ingeniería Civil,,,
Oscar Santiago López Erazo,Erazo O.,57215580561,9-s2.0-57215580561,,3,2020-03-17,2,2,1,6,update,Modeling and Simulation;Education;Computer Science Applications;Media Technology;Computer Science (all),2019-2021,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
Luz Marina Chalapud Narváez,Narváez L.,57226118235,9-s2.0-57226118235,,3,2021-07-27,2,2,1,3,update,"Health (social science);Physical Therapy, Sports Therapy and Rehabilitation;Medicine (all);Cultural Studies",2021-2023,Corporación Universitaria Autónoma del Cauca,129274966,Programa Entrenamiento Deportivo,,,
Alexander Buendía-Astudillo,Buendía-Astudillo A.,37096762900,9-s2.0-37096762900,0000-0001-8750-9333,3,2011-05-12,2,2,1,3,update,Public Administration;Social Sciences (all);Arts and Humanities (all);Education,2009-2018,Universidad del Cauca,60051434,No Aplica,00000000002726,ESTUDIOS CULTURALES Y DE LA COMUNICACIÓN ECCO,0000338311
Diego Fabian Duran Dorado,Dorado D.,57192642836,9-s2.0-57192642836,,3,2017-01-02,1,1,1,7,update,Human-Computer Interaction;Music;Media Technology;Education;Computer Science Applications,2016-2016,Universidad del Cauca,104717552,Departamento de Telemática,,,
Andrea Pabón-Guerrero,Pabón-Guerrero A.,57219625073,9-s2.0-57219625073,0000-0002-0033-0347,3,2020-11-01,1,1,1,4,update,Media Technology;Engineering (all);Modeling and Simulation;Computer Science (all),2019-2020,Universidad del Cauca,60051434,No Aplica,00000000002157,Grupo I+D en Tecnologías de la Información,0000122419
