idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000011727,True,Revista de divulgación,Estado de la cuestión sobre culturas juveniles,Colombia,Mediaciones,1692-5688,2013,11,,102 - 110,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000011727,True,Revista de divulgación,El comunicador como traductor,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2013,1,1,50 - 54,ALEX ANDRES LOPEZ GUEVARA
00000000002140,True,Revista de divulgación,"Helicobacter pylori genotypes, salt intake, and sociodemographic factors associated with premalignant stomach lesions in a Colombian population",Estados Unidos,Research Square,2693-5015,2019,1,,1 - 16,"JEISON HARVEY CARLOSAMA ROSERO, CLAUDIA PATRICIA ACOSTA ASTAIZA, CARLOS HERNAN SIERRA TORRES, HAROLD JOFRE BOLANOS BRAVO"
00000000011727,True,Revista de divulgación,"Cuerpo,consumo y culturas juveniles",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2013,3,,102 - 122,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000000625,True,Revista de divulgación,Las Parcelas integrales una alternativa de sostenibilidad para la zona cafetera,Colombia,Revista Biotecnología En El Sector Agropecuario Y Agroindustrial,1692-3561,2005,"3, N°1",,27 - 30,"NOE ALBAN LOPEZ, FABIO ALONSO PRADO CERON"
00000000000625,True,Periódico de noticias,CARACOL CON FINES PRODUCTIVOS,Colombia,Diario El Liberal,0121-9022,2006,4,,10a - 11a,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA"
00000000000625,True,Periódico de noticias,HUMEDALES FUENTE DE RIQUEZA NATURAL,Colombia,Diario El Liberal,0121-9022,2006,1,,13a - 17a,SANDRA MORALES VELASCO
00000000015873,True,Revista de divulgación,"Las víctimas del conflicto armado interno en Colombia, 1985-2015",España,Anuari Del Conflicte Social 2011,2014-6760,2016,1,,47 - 80,WILLIAM DARIO CHARA ORDONEZ
00000000010589,True,Revista de divulgación,"Diagnóstico de las causas de las patologías que se presentan en el puente de Los Libertadores en Santander de Quilichao, Cauca, Colombia",Colombia,Encuentro Nacional de Semilleros de Investigación Sector Construción,2590-6771,2018,2,,13 - 30,MARIA ISABEL TURBAY VARONA
00000000004257,True,Revista de divulgación,"Correlación funcional del sistema límbico con la emoción, el aprendizaje y la memoria",Colombia,Morfolia,2011-9860,2015,7,2,29 - 44,JHAN SEBASTIAN SAAVEDRA TORRES
