idcvlac,nombre,activa
0001469802,Biologia molecular,No
0001469802,Biotecnologia,Si
0001469802,Protección vegetal,Si
0000045422,Etnobiología - Etnobotánica,Si
0000012815,Educación Ambiental,Si
0000012815,Recursos naturales y educación ambiental,No
0000012815,"Formación, pedagogía y didáctica",No
0000012815,Formación del espíritu científico,No
0000012815,Criterios políticos,Si
0000012815,Economía solidaria,Si
0000012815,Salud integral,Si
0000012815,Universidad y Contexto,Si
0000012815,Etnoeducacion,Si
0000012815,Formacion,Si
0000012815,Recursos vegetales,Si
0000012815,Etnobotanica,Si
0000012815,Etnoeducación,Si
0001218514,Microscopía Electrónica,Si
0001218514,Microscopía Óptica de Alta Resolución,Si
0001218514,Fisiología Vegetal,Si
0001218514,Tratamiento de Aguas,No
0001218514,Microbiología,Si
0001218514,Nanotecnología,Si
0001671269,Floristica y Estudios Taxonomicos,Si
0001671269,Etnobotanica Aplicada,Si
0000507555,"Interculturalidad, estado y sociedad",Si
0000507555,"Ordenamiento socio-ambiental del territorio, sistemas productivos y desarrollo rural aplicado",Si
0001559275,Agroecología y Desarrollo Rural,Si
0001559275,Etnobotánica,Si
0001471863,Ecologia de la Conservacion,Si
0001471863,Ecologia,Si
0001471863,Ambiental,Si
0001471863,Sistematica Vegetal,Si
0001471863,Educacion Ambiental,Si
0001471863,Biologia,Si
0001471863,ciencias ambientales,Si
0000246808,BIOPROSPECCIÓN,Si
0000246808,Biologia de paramos y ecosistemas altoandinos,Si
0000246808,BIODIVERSIDAD DEL PACÍFICO,No
0000246808,ETNOBOTÁNICA,No
0000246808,ETNOBOTANICA,No
0001340558,Etnobotánica aplicada a la conservación,Si
0001340558,Resiliencia socioecológica,Si
0000569186,CONOCIMIENTO DE LOS CULTIVOS DE AMERICA Y EL MUNDO,Si
0000569186,ETNOBOTANICA HISTORICA,Si
0000569186,ETNOBOTANICA EN ZONAS CALIDO-HUMEDAS. PLANTAS COMESTIBLES Y MEDICINALES,Si
0000569186,ETNOBOTANICA DE SISTEMAS AGRICOLAS TRADICIONALES,Si
0000246573,Reconocimiento de la Artropofauna Asociada al Chachafruto Erythrina edulis T. en el Valle del Cauca,No
0000246573,"Evalluación de Extractos Vegetales Sobre el Comportamiento de Terastia sp, Barrenador de Semillas y Tallos de Chachafruto Erythrina edulis T",No
0000246573,Artropofauna Asociada al Chachafruto en la Cuenca del Rio Combeima,No
0000246573,Caracterización de las Erythrinas del Valle del Cauca,No
0000246573,Estudio de la Microflora Patógena Asociada a las Erythrinas del Valle del Cauca,No
0000246573,Sinopsis del Género Cyphomandra (Solanaceae) en Colombia,No
0000246573,Clave sinóptica para las Especies del Género Cyphomandra (Solanaceae) en Colombia,No
0000246573,"Evaluación de Deficiencias de Elementos Menores (B, Fe, Mn, Zn, Cu) en Plántulas de Tomate de Arbol Cyphomandra betacea",No
0000246573,La Victoria Bolo o Mejicano - Alternativa Agroalimentaria para los Habitantes de Ladera,No
0000246573,"Desarrollo Fenológico de Cucurbita fiscifolia B., Victoria Observado entre 0 y 180 Días Despues de Siembra en Condiciones de la Maria, Cuenca de los Ríos nima y Amaime",No
0000246573,"Estudio de la Biología Floral de Cucurbita ficifolia B. En Condiciones de La Maria, Cuenca del Río Nima - Palmira",No
0000246573,"Determinación y Análisis Cualitativo de Metabolitos Secundarios en Diferentes partes de la Planta de Victoria, Bolo o Mexicano, Cucurbita ficifolia B",No
0000246573,"Determinación de deficiencias de elementos Mayores en Plantas de Cidra papa, Sechium edule",No
0000246573,La Cidra Papa Sechium edule en Quinchía (Risaralda - Colombia),No
0000246573,Identificación de Nemátodos en Lulo Solanum quitoense  en 27 Fincas del Valle del Cauca,No
0000246573,"ELABORACIÓN DEL PROYECTO NO 7 DEL PROGRAMA MECAVILADERA: ""MANEJO Y CARACTERIZACIÓN DEL BANCO DE GERMOPLASMA DE ERYTHRINA EDULIS EN EL MUNICIPIO DE SEVILLA""",Si
0000246573,"PROGRAMA MECAVILADERA. PROYECTO No 6: ""ESTABLECIMIENTO DE SISTEMAS PRODUCTIVOS BASADOS EN FRUTALES TROPICALES ANDINOS Y EN EL MANEJO DEL HUERTO HABITACIONAL PARA EL MEJORAMIENTO DE LA CALIDAD DE VIDA DE LOS HABITANTES DE LADERA""",No
0000246573,"EVALUACIÓN Y CARACTERIZACIÓN DE LAS ACCESIONES DEL BANCO DE GERMOPLASMA DE Erythrina edulis Triana, MUNICIPIO DE SEVILLA, VALLE DEL CAUCA - COLOMBIA",No
